# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 09:46:21
# time	ch1
2.447667999999999788e-01	5.529093687096157117e-01
2.448620399999999753e-01	4.788652586339687267e-01
2.449572799999999717e-01	3.566924770091511321e-01
2.450525199999999681e-01	2.567329284070276052e-01
2.451477599999999646e-01	1.678799963162511955e-01
2.452429999999999610e-01	6.792044771412769633e-02
2.453382399999999852e-01	-2.833689538421343967e-02
2.454334799999999817e-01	-1.134876219712075279e-01
2.455287199999999781e-01	-2.208515815808957117e-01
2.456239599999999745e-01	-3.208111301830192108e-01
2.457191999999999710e-01	-4.281750897927074084e-01
2.458144399999999674e-01	-5.355390494023956061e-01
2.459096799999999639e-01	-6.317963925007367143e-01
2.460049199999999603e-01	-7.206493245915132073e-01
2.461001599999999845e-01	-8.095022566822895893e-01
2.461953999999999809e-01	-9.020573942768483899e-01
2.462906399999999774e-01	1.034196084201321364e+00
2.463858799999999738e-01	9.453431521105449820e-01
2.464811199999999702e-01	8.453836035084214551e-01
2.465763599999999667e-01	7.528284659138626544e-01
2.466715999999999631e-01	6.528689173117392386e-01
2.467668399999999596e-01	5.603137797171804380e-01
2.468620799999999837e-01	4.714608476264040005e-01
2.469573199999999802e-01	3.752035045280628367e-01
2.470525599999999766e-01	2.678395449183746946e-01
2.471477999999999731e-01	1.641777908124688323e-01
2.472430399999999695e-01	7.532485872169239483e-02
2.473382799999999659e-01	-1.723027887286638499e-02
2.474335199999999624e-01	-1.319986494901192742e-01
2.475287599999999588e-01	-2.282559925884604102e-01
2.476239999999999830e-01	-3.356199521981486078e-01
2.477192399999999795e-01	-4.059618567700132852e-01
2.478144799999999759e-01	-5.170280218834838459e-01
2.479097199999999723e-01	-6.095831594780426466e-01
2.480049599999999688e-01	-7.169471190877307887e-01
2.481001999999999652e-01	-8.132044621860718969e-01
2.481954399999999616e-01	-9.168662162919777314e-01
2.482906799999999858e-01	1.030493878697539056e+00
2.483859199999999823e-01	9.416409466067626743e-01
2.484811599999999787e-01	8.416813980046391475e-01
2.485763999999999752e-01	7.417218494025156206e-01
2.486716399999999716e-01	6.676777393268685801e-01
2.487668799999999680e-01	5.603137797171804380e-01
2.488621199999999645e-01	4.714608476264040005e-01
2.489573599999999609e-01	3.715012990242805291e-01
2.490525999999999851e-01	2.678395449183746946e-01
2.491478399999999815e-01	1.715822018200335308e-01
2.492430799999999780e-01	7.902706422547474407e-02
2.493383199999999744e-01	-3.203910088799578892e-02
2.494335599999999709e-01	-1.208920329787722264e-01
2.495287999999999673e-01	-2.208515815808957117e-01
2.496240399999999637e-01	-3.060023081678898138e-01
2.497192799999999602e-01	-4.318772952964897716e-01
2.498145199999999844e-01	-5.244324328910485722e-01
2.499097599999999808e-01	-6.095831594780426466e-01
2.500049999999999772e-01	-7.058405025763837548e-01
2.501002399999999737e-01	-8.095022566822895893e-01
2.501954799999999701e-01	-8.983551887730659713e-01
2.502907199999999666e-01	1.052707111720233124e+00
2.503859599999999630e-01	9.490453576143272896e-01
2.504811999999999594e-01	8.490858090122038737e-01
2.505764399999999559e-01	7.491262604100803468e-01
2.506716799999999523e-01	6.454645063041745123e-01
2.507669199999999488e-01	5.677181907247451642e-01
2.508621599999999452e-01	4.529498201074922403e-01
2.509573999999999971e-01	3.492880660015864058e-01
2.510526399999999936e-01	2.604351339108099683e-01
2.511478799999999900e-01	1.641777908124688323e-01
2.512431199999999865e-01	6.792044771412769633e-02
2.513383599999999829e-01	-1.723027887286638499e-02
2.514335999999999793e-01	-1.134876219712075279e-01
2.515288399999999758e-01	-2.171493760771133763e-01
2.516240799999999722e-01	-3.060023081678898138e-01
2.517193199999999687e-01	-4.170684732813603190e-01
2.518145599999999651e-01	-5.244324328910485722e-01
2.519097999999999615e-01	-6.206897759893896804e-01
2.520050399999999580e-01	-7.132449135839484811e-01
2.521002799999999544e-01	-8.058000511785072817e-01
2.521955199999999508e-01	-9.168662162919777314e-01
2.522907599999999473e-01	1.041600495208886201e+00
2.523859999999999992e-01	9.305343300954155294e-01
2.524812399999999957e-01	8.490858090122038737e-01
2.525764799999999921e-01	7.528284659138626544e-01
2.526717199999999885e-01	6.639755338230862725e-01
2.527669599999999850e-01	5.603137797171804380e-01
2.528621999999999814e-01	4.603542311150569666e-01
2.529574399999999779e-01	3.566924770091511321e-01
2.530526799999999743e-01	2.678395449183746946e-01
2.531479199999999707e-01	1.567733798049041338e-01
2.532431599999999672e-01	6.051603670656299783e-02
